ID,group,water_depth,date,days,length_cm
T1-1,T1,0.25,10/7/2014,1,0.794
T1-2,T1,0.25,10/7/2014,1,0.705
T1-4,T1,0.25,10/7/2014,1,0.816
T1-6,T1,0.25,10/7/2014,1,0.752
T1-7,T1,0.25,10/7/2014,1,0.823
T1-8,T1,0.25,10/7/2014,1,0.796
T1-9,T1,0.25,10/7/2014,1,0.863
T1-11,T1,0.25,10/7/2014,1,0.964
T1-13,T1,0.25,10/7/2014,1,0.851
T1-14,T1,0.25,10/7/2014,1,0.749
T1-15,T1,0.25,10/7/2014,1,0.731
T1-1,T1,0.25,18/7/2014,8,0.983
T1-2,T1,0.25,18/7/2014,8,0.773
T1-4,T1,0.25,18/7/2014,8,0.982
T1-6,T1,0.25,18/7/2014,8,0.961
T1-7,T1,0.25,18/7/2014,8,0.982
T1-8,T1,0.25,18/7/2014,8,1.083
T1-9,T1,0.25,18/7/2014,8,1.47
T1-11,T1,0.25,18/7/2014,8,1.375
T1-13,T1,0.25,18/7/2014,8,1.009
T1-14,T1,0.25,18/7/2014,8,1.137
T1-15,T1,0.25,18/7/2014,8,1.07
T1-1,T1,0.25,25/7/2014,15,2.08
T1-2,T1,0.25,25/7/2014,15,1.338
T1-4,T1,0.25,25/7/2014,15,1.768
T1-6,T1,0.25,25/7/2014,15,1.7
T1-7,T1,0.25,25/7/2014,15,1.015
T1-8,T1,0.25,25/7/2014,15,1.37
T1-9,T1,0.25,25/7/2014,15,1.574
T1-11,T1,0.25,25/7/2014,15,1.415
T1-13,T1,0.25,25/7/2014,15,1.108
T1-14,T1,0.25,25/7/2014,15,1.331
T1-15,T1,0.25,25/7/2014,15,1.244
T1-1,T1,0.25,31/7/2014,21,2.402
T1-2,T1,0.25,31/7/2014,21,1.634
T1-4,T1,0.25,31/7/2014,21,1.954
T1-6,T1,0.25,31/7/2014,21,2.112
T1-7,T1,0.25,31/7/2014,21,1.338
T1-8,T1,0.25,31/7/2014,21,1.867
T1-9,T1,0.25,31/7/2014,21,2.444
T1-11,T1,0.25,31/7/2014,21,1.698
