ID,group,water_depth,growth_rate_cm_d,larval_period_d,metamorph_size_cm,jump_dist_cm
T1-1,T1,0.25,0.076571429,30,1.0208,7.8008
T1-2,T1,0.25,0.044238095,45,0.7136,6.7516
T1-4,T1,0.25,0.054190476,43,0.8416,9.6096
T1-6,T1,0.25,0.064761905,33,0.9048,7.3048
T1-7,T1,0.25,0.02452381,41,0.5952,10
T1-8,T1,0.25,0.051,43,0.8068,6.8768
T1-9,T1,0.25,0.075285714,32,0.972,7.2
T1-11,T1,0.25,0.034952381,48,0.7392,8.1542
T1-13,T1,0.25,0.04152381,45,0.7492,6.5572
T1-14,T1,0.25,0.048142857,50,0.764,6.795
T1-15,T1,0.25,0.044428571,41,0.7256,6.6696
T2-1,T2,0.5,0.03347619,39,0.6864,6.8194
T2-2,T2,0.5,0.056,39,0.8732,7.2872
T2-3,T2,0.5,0.028857143,47,0.6356,6.3656
T2-4,T2,0.5,0.079761905,29,0.861,7.7
T2-5,T2,0.5,0.049380952,35,0.838,7.8
T2-6,T2,0.5,0.055809524,40,0.8044,6.7974
T2-7,T2,0.5,0.075333333,37,1.052,8.054
T2-8,T2,0.5,0.057380952,36,0.8952,7.1402
T2-9,T2,0.5,0.084809524,39,1.0596,9.9396
T2-10,T2,0.5,0.083047619,36,1.0728,9.2258
T2-11,T2,0.5,0.069714286,39,0.9264,7.5324
T2-12,T2,0.5,0.071,39,1.004,7.568
T3-1,T3,1,0.069190476,34,0.9964,8.8584
T3-2,T3,1,0.06,32,0.962,9.099
T3-3,T3,1,0.098,33,1.1708,10.2088
T3-4,T3,1,0.083047619,29,0.997,8.8
T3-5,T3,1,0.075809524,30,1.514,9.269
T3-6,T3,1,0.09252381,36,1.1024,7.8824
T3-7,T3,1,0.092428571,36,1.1596,10.3426
T3-8,T3,1,0.075238095,27,1.023,8.8
T3-9,T3,1,0.087428571,28,1.065,6.8
T3-10,T3,1,0.099904762,39,1.198,9.515
T3-11,T3,1,0.101428571,37,1.1948,8.8148
T3-12,T3,1,0.079571429,32,1.207,7.5
T4-1,T4,2,0.065714286,36,0.9364,8.7404
T4-2,T4,2,0.100761905,39,1.2432,10.0752
T4-3,T4,2,0.09852381,39,1.1868,9.3688
T4-4,T4,2,0.121714286,43,1.382,8.943
T4-5,T4,2,0.095190476,29,0.94,9.1
T4-7,T4,2,0.085142857,41,1.1176,8.5396
T4-8,T4,2,0.072714286,39,0.9848,9.0298
T4-9,T4,2,0.102333333,37,1.2216,9.3056
T4-10,T4,2,0.057095238,35,0.8464,7.5724
T4-11,T4,2,0.094380952,36,1.1704,10.4454
T4-12,T4,2,0.091095238,32,1.353,8.5
T5-1,T5,2-0.25,0.092666667,32,0.94,8.374
T5-2,T5,2-0.25,0.074904762,36,0.93,7.618
T5-3,T5,2-0.25,0.090285714,32,1.19,8.2
T5-4,T5,2-0.25,0.07552381,34,1.02,7.964
T5-5,T5,2-0.25,0.093952381,29,1.1,8.409
T5-6,T5,2-0.25,0.069428571,35,1.09,8.5
T5-7,T5,2-0.25,0.084857143,31,1.13,8.128
T5-8,T5,2-0.25,0.074095238,33,0.91,7.455
T5-9,T5,2-0.25,0.059095238,32,0.88,7.076
T5-10,T5,2-0.25,0.08347619,31,1.09,7.918
T5-11,T5,2-0.25,0.087,29,1.18,8.186
T5-12,T5,2-0.25,0.085809524,27,1.16,8.262
